season,episode,rating
1,1,7.6
1,2,8.0
1,3,7.7
1,4,7.8
1,5,7.7
1,6,7.6
1,7,8.1
1,8,8.4
1,9,8.2
1,10,8.2
1,11,8.0
1,12,8.0
1,13,7.7
1,14,8.7
2,1,6.4
2,2,8.4
2,3,8.1
2,4,8.1
2,5,7.8
2,6,7.7
2,7,7.5
2,8,7.6
2,9,7.7
2,10,8.1
2,11,7.7
2,12,8.0
2,13,7.7
2,14,7.9
2,15,8.6
2,16,8.2
2,17,8.4
2,18,8.0
3,1,8.5
3,2,8.2
3,3,8.1
3,4,6.6
3,5,7.7
3,6,8.3
3,7,8.1
3,8,8.1
3,9,7.5
3,10,7.9
3,11,8.7
3,12,8.1
3,13,8.2
3,14,8.4
3,15,7.4
3,16,7.9
3,17,8.2
4,1,8.3
4,2,8.7
4,3,8.2
4,4,7.4
4,5,9.0
4,6,8.1
4,7,8.3
4,8,8.2
4,9,8.4
4,10,8.3
4,11,8.2
4,12,8.2
4,13,7.8
4,14,6.8
4,15,8.5
4,16,8.8
4,17,7.6
5,1,8.5
5,2,8.3
5,3,8.3
5,4,9.6
5,5,7.1
5,6,8.9
5,7,8.6
5,8,8.4
5,9,8.0
5,10,8.1
5,11,8.3
5,12,8.1
5,13,8.9
5,14,9.0
6,1,8.1
6,2,8.4
6,3,8.0
6,4,8.0
6,5,8.1
6,6,8.6
6,7,8.9
6,8,8.3
6,9,8.3
6,10,8.3
6,11,8.6
6,12,8.8
6,13,9.4
6,14,8.7
6,15,8.7
6,16,8.6
6,17,8.1
7,1,8.5
7,2,8.2
7,3,8.4
7,4,8.1
7,5,8.5
7,6,8.6
7,7,7.7
7,8,8.2
7,9,9.1
7,10,8.2
7,11,9.2
7,12,9.0
7,13,8.0
7,14,8.5
7,15,7.7
8,1,9.2
8,2,8.5
8,3,8.7
8,4,8.1
8,5,9.2
8,6,8.6
8,7,8.4
8,8,8.5
8,9,8.7
8,10,8.4
8,11,8.3
8,12,8.5
8,13,8.6
8,14,9.1
9,1,7.7
9,2,8.8
9,3,7.5
9,4,8.6
9,5,8.8
9,6,9.1
9,7,7.7
9,8,8.5
9,9,8.8
9,10,8.0
9,11,8.8
9,12,9.1
9,13,8.2
9,14,7.9
10,1,8.1
10,2,8.2
10,3,8.8
10,4,8.8
10,5,6.3
10,6,8.1
10,7,9.0
10,8,9.5
10,9,8.3
10,10,8.5
10,11,8.1
10,12,8.7
10,13,8.7
10,14,7.4
11,1,8.8
11,2,8.9
11,3,8.0
11,4,8.2
11,5,8.2
11,6,7.7
11,7,8.8
11,8,8.9
11,9,8.1
11,10,9.0
11,11,9.0
11,12,9.0
11,13,8.4
11,14,8.5
12,1,7.9
12,2,7.0
12,3,8.7
12,4,7.9
12,5,7.7
12,6,8.6
12,7,8.4
12,8,7.8
12,9,8.7
12,10,8.1
12,11,7.9
12,12,7.7
12,13,7.7
12,14,7.9
13,1,8.2
13,2,8.5
13,3,8.6
13,4,6.5
13,5,8.8
13,6,7.9
13,7,8.2
13,8,7.8
13,9,8.8
13,10,8.3
13,11,8.2
13,12,8.2
13,13,8.2
13,14,7.7
14,1,7.6
14,2,8.0
14,3,8.8
14,4,8.7
14,5,8.8
14,6,8.7
14,7,6.8
14,8,7.5
14,9,8.0
14,10,8.1
14,11,8.2
14,12,8.4
14,13,8.4
14,14,8.2
15,1,7.7
15,2,6.3
15,3,6.7
15,4,8.0
15,5,7.5
15,6,8.0
15,7,8.6
15,8,8.1
15,9,8.1
15,10,7.6
15,11,7.9
15,12,7.8
15,13,7.3
15,14,8.0
16,1,7.8
16,2,7.9
16,3,7.2
16,4,6.7
16,5,7.6
16,6,6.9
16,7,8.1
16,8,7.5
16,9,8.2
16,10,8.3
16,11,6.6
16,12,8.3
16,13,7.3
16,14,7.4
17,1,7.5
17,2,8.1
17,3,7.8
17,4,6.8
17,5,7.1
17,6,7.8
17,7,9.0
17,8,8.9
17,9,8.9
17,10,8.5
18,1,7.8
18,2,7.8
18,3,8.6
18,4,7.4
18,5,8.0
18,6,8.2
18,7,9.1
18,8,8.4
18,9,7.4
18,10,6.8
19,1,7.7
19,2,8.3
19,3,7.7
19,4,8.1
19,5,8.5
19,6,8.0
19,7,8.3
19,8,8.9
19,9,8.2
19,10,8.0
20,1,7.9
20,2,8.2
20,3,8.1
20,4,8.0
20,5,7.4
20,6,7.4
20,7,7.0
20,8,7.4
20,9,7.4
20,10,7.0
21,1,6.5
21,2,7.8
21,3,7.6
21,4,7.3
21,5,7.2
21,6,7.2
21,7,7.3
21,8,7.0
21,9,7.7
21,10,6.8
22,1,8.0
22,2,7.6
22,3,6.4
22,4,7.9
22,5,8.1
22,6,7.6
22,7,7.7
22,8,7.3
22,9,7.6
22,10,7.6
23,1,7.3
23,2,8.7
23,3,7.5
23,4,8.0
23,5,7.2
23,6,7.1
23,7,8.2
23,8,7.7
23,9,7.9
23,10,7.8
24,1,8.5
