season,episode,rating
1,1,7.9
1,2,7.6
1,3,7.7
1,4,7.5
1,5,7.5
1,6,7.3
1,7,7.5
2,1,7.7
2,2,7.4
2,3,8.3
2,4,7.5
2,5,7.7
2,6,8.3
2,7,7.4
2,8,8.1
2,9,7.4
2,10,7.5
2,11,7.2
2,12,7.6
2,13,8.2
2,14,7.9
2,15,7.5
2,16,6.9
2,17,7.8
2,18,8.2
2,19,7.5
2,20,8.2
2,21,7.2
3,1,8.1
3,2,7.7
3,3,7.6
3,4,7.6
3,5,7.6
3,6,8.0
3,7,7.3
3,8,6.7
3,9,7.5
3,10,7.1
3,11,8.1
3,12,8.2
3,13,7.4
3,14,7.6
3,15,7.6
3,16,7.7
3,17,7.5
3,18,7.5
3,19,7.7
3,20,7.9
3,21,7.6
3,22,7.4
4,1,7.8
4,2,7.6
4,3,7.6
4,4,7.5
4,5,7.6
4,6,8.3
4,7,7.4
4,8,7.6
4,9,7.6
4,10,7.3
4,11,7.6
4,12,7.7
4,13,7.3
4,14,8.6
4,15,7.8
4,16,7.7
4,17,8.0
4,18,7.3
4,19,7.3
4,20,7.8
4,21,7.5
4,22,7.6
4,23,7.5
4,24,7.6
4,25,7.3
4,26,7.9
4,27,7.7
4,28,7.7
4,29,7.6
4,30,7.8
5,1,8.2
5,2,7.4
5,3,7.6
5,4,7.7
5,5,7.7
5,6,7.4
5,7,7.5
5,8,7.9
5,9,7.9
5,10,7.7
5,11,7.6
5,12,7.7
5,13,7.2
5,14,7.2
5,15,7.3
5,16,7.4
5,17,7.5
5,18,8.4
6,1,8.2
6,2,7.2
6,3,7.4
6,4,8.4
6,5,8.4
6,6,6.8
6,7,7.3
6,8,7.6
6,9,7.5
6,10,7.2
6,11,6.8
6,12,7.6
7,1,6.7
7,2,8.0
7,3,8.1
7,4,7.4
7,5,7.6
7,6,7.2
7,7,7.6
7,8,7.5
7,9,6.3
7,10,6.9
7,11,7.6
7,12,7.5
7,13,8.0
7,14,7.4
7,15,8.2
7,16,7.2
8,1,9.1
8,2,7.1
8,3,6.8
8,4,7.2
8,5,7.1
8,6,7.3
8,7,7.1
8,8,7.5
8,9,7.4
8,10,7.6
8,11,7.5
8,12,6.8
8,13,7.3
8,14,6.8
8,15,7.2
8,16,7.2
8,17,7.6
8,18,7.5
8,19,7.3
8,20,7.7
8,21,7.3
9,1,8.6
9,2,6.6
9,3,7.0
9,4,7.9
9,5,7.1
9,6,6.8
9,7,8.3
9,8,7.5
9,9,7.1
