season,episode,rating
1,1,8.3
1,2,8.0
1,3,8.2
1,4,8.1
1,5,8.5
1,6,8.1
1,7,9.0
1,8,8.1
1,9,8.2
1,10,8.1
1,11,8.2
1,12,8.2
1,13,8.7
1,14,8.3
1,15,8.2
1,16,8.1
1,17,8.5
1,18,8.8
1,19,8.1
1,20,7.9
1,21,7.9
1,22,8.3
1,23,8.7
1,24,8.9
2,1,8.5
2,2,8.2
2,3,8.4
2,4,7.9
2,5,8.3
2,6,8.6
2,7,9.0
2,8,8.5
2,9,8.0
2,10,8.0
2,11,8.1
2,12,8.6
2,13,8.8
2,14,9.4
2,15,8.9
2,16,8.6
2,17,8.3
2,18,8.5
2,19,8.5
2,20,8.1
2,21,8.1
2,22,9.0
2,23,8.1
2,24,8.2
3,1,8.4
3,2,9.0
3,3,8.1
3,4,8.1
3,5,8.1
3,6,9.1
3,7,8.3
3,8,8.4
3,9,9.0
3,10,8.1
3,11,8.6
3,12,8.2
3,13,8.2
3,14,7.8
3,15,8.5
3,16,9.1
3,17,8.3
3,18,8.4
3,19,8.2
3,20,8.1
3,21,8.7
3,22,8.2
3,23,8.1
3,24,8.1
3,25,8.8
4,1,9.1
4,2,8.1
4,3,8.5
4,4,8.2
4,5,8.4
4,6,8.5
4,7,8.7
4,8,9.1
4,9,7.9
4,10,8.0
4,11,8.5
4,12,9.5
4,13,8.2
4,14,8.2
4,15,8.5
4,16,8.2
4,17,8.6
4,18,8.3
4,19,8.7
4,20,8.5
4,21,7.2
4,22,8.5
4,23,8.7
4,24,9.2
5,1,8.9
5,2,9.0
5,3,8.8
5,4,8.3
5,5,8.7
5,6,8.0
5,7,8.3
5,8,9.2
5,9,9.1
5,10,8.2
5,11,9.1
5,12,8.3
5,13,8.1
5,14,9.7
5,15,8.5
5,16,8.6
5,17,8.5
5,18,8.0
5,19,8.7
5,20,8.3
5,21,8.5
5,22,8.3
5,23,8.8
5,24,9.1
6,1,8.7
6,2,8.2
6,3,8.2
6,4,8.5
6,5,8.2
6,6,8.5
6,7,8.4
6,8,8.5
6,9,9.2
6,10,8.6
6,11,8.1
6,12,8.0
6,13,8.2
6,14,8.6
6,15,8.5
6,16,8.5
6,17,9.1
6,18,8.3
6,19,8.3
6,20,7.4
6,21,8.6
6,22,9.0
6,23,8.6
6,24,8.8
6,25,9.3
7,1,8.4
7,2,8.3
7,3,8.1
7,4,8.1
7,5,8.1
7,6,8.9
7,7,8.5
7,8,8.2
7,9,8.1
7,10,8.5
7,11,8.6
7,12,8.7
7,13,8.4
7,14,8.6
7,15,8.4
7,16,8.7
7,17,8.4
7,18,8.4
7,19,8.7
7,20,8.4
7,21,7.4
7,22,8.4
7,23,8.9
7,24,9.2
8,1,8.7
8,2,9.1
8,3,8.7
8,4,9.3
8,5,8.1
8,6,8.5
8,7,7.9
8,8,8.8
8,9,9.3
8,10,8.1
8,11,8.0
8,12,8.5
8,13,8.6
8,14,8.2
8,15,8.4
8,16,8.3
8,17,8.1
8,18,8.2
8,19,7.4
8,20,8.2
8,21,8.2
8,22,8.3
8,23,8.8
8,24,8.9
9,1,8.6
9,2,8.6
9,3,8.2
9,4,8.2
9,5,8.5
9,6,8.4
9,7,8.7
9,8,8.8
9,9,8.2
9,10,7.5
9,11,8.0
9,12,7.9
9,13,8.1
9,14,8.2
9,15,8.3
9,16,8.2
9,17,8.5
9,18,8.6
9,19,8.1
9,20,8.2
9,21,8.2
9,22,7.8
9,23,8.5
9,24,8.7
10,1,8.5
10,2,8.8
10,3,8.8
10,4,8.3
10,5,8.2
10,6,8.2
10,7,8.3
10,8,8.9
10,9,8.6
10,10,8.0
10,11,9.0
10,12,8.9
10,13,8.5
10,14,8.6
10,15,8.5
10,16,8.9
10,17,9.7
