season,episode,rating
1,1,8.5
1,2,8.3
1,3,8.2
1,4,8.2
1,5,8.3
1,6,8.3
1,7,8.3
1,8,8.2
1,9,8.7
2,1,8.5
2,2,8.3
2,3,8.8
2,4,8.5
2,5,8.6
2,6,9.1
2,7,8.3
2,8,8.1
2,9,8.5
2,10,8.2
2,11,8.3
2,12,8.3
2,13,8.4
2,14,8.2
2,15,8.5
2,16,9.5
2,17,9.5
2,18,8.5
2,19,8.3
2,20,8.2
2,21,8.3
2,22,8.3
2,23,8.1
2,24,8.5
2,25,9.1
2,26,9.1
2,27,9.3
3,1,8.7
3,2,8.3
3,3,8.1
3,4,8.4
3,5,8.2
3,6,8.1
3,7,8.1
3,8,8.0
3,9,8.8
3,10,8.3
3,11,8.6
3,12,8.9
3,13,8.4
3,14,8.6
3,15,8.9
3,16,8.9
3,17,8.6
3,18,8.3
3,19,8.2
3,20,8.1
3,21,8.0
3,22,7.0
3,23,7.3
3,24,8.5
3,25,8.8
4,1,8.1
4,2,7.9
4,3,8.2
4,4,8.1
4,5,8.0
4,6,8.0
4,7,7.9
4,8,8.1
4,9,8.4
4,10,8.5
4,11,8.0
4,12,8.1
4,13,8.3
4,14,8.0
4,15,8.1
4,16,8.5
4,17,8.8
5,1,8.3
5,2,8.3
5,3,8.3
5,4,8.6
5,5,8.6
5,6,8.4
5,7,8.6
5,8,8.2
5,9,8.5
5,10,8.5
5,11,8.3
5,12,8.9
5,13,9.2
5,14,8.6
5,15,8.3
5,16,8.8
5,17,8.8
5,18,9.0
5,19,9.1
5,20,8.8
5,21,8.4
5,22,9.3
5,23,9.0
5,24,9.6
6,1,8.5
6,2,8.5
6,3,7.8
6,4,8.1
6,5,8.1
6,6,9.0
6,7,8.7
6,8,8.5
6,9,8.2
6,10,8.0
6,11,8.1
6,12,7.9
6,13,8.1
6,14,8.1
6,15,8.9
6,16,8.0
6,17,7.9
6,18,7.8
6,19,7.9
6,20,7.7
6,21,8.2
6,22,8.4
6,23,9.6
6,24,9.6
7,1,7.9
7,2,7.8
7,3,7.7
7,4,7.5
7,5,7.9
7,6,7.0
7,7,7.8
7,8,7.8
7,9,8.0
7,10,8.4
7,11,8.2
7,12,7.8
7,13,7.8
7,14,7.6
7,15,8.6
7,16,7.7
7,17,8.0
7,18,6.2
7,19,7.9
7,20,7.9
7,21,7.8
7,22,8.0
8,1,8.2
8,2,8.5
8,3,8.2
8,4,8.1
8,5,8.1
8,6,8.0
8,7,8.3
8,8,8.6
8,9,9.2
8,10,9.1
8,11,8.3
8,12,8.5
8,13,8.1
8,14,8.0
8,15,8.1
8,16,8.3
8,17,8.0
8,18,8.0
8,19,8.5
8,20,8.5
8,21,8.5
8,22,8.5
8,23,8.6
8,24,8.6
9,1,8.7
9,2,8.9
9,3,8.3
9,4,8.1
9,5,8.6
9,6,8.3
9,7,8.3
9,8,8.1
9,9,8.5
9,10,8.5
9,11,8.1
9,12,7.8
9,13,7.8
9,14,8.2
9,15,8.2
9,16,8.5
9,17,8.1
9,18,7.8
9,19,7.4
9,20,7.8
9,21,7.6
9,22,7.4
9,23,8.4
9,24,8.9
10,1,7.2
10,2,7.2
10,3,7.0
10,4,7.1
10,5,7.1
10,6,7.1
