season,episode,rating
1,1,8.3
1,2,8.4
1,3,8.4
1,4,8.2
1,5,8.1
1,6,8.2
1,7,8.6
2,1,8.6
2,2,8.7
2,3,9.1
2,4,9.2
2,5,8.8
2,6,8.5
2,7,8.1
2,8,8.1
2,9,8.4
2,10,8.6
3,1,8.7
3,2,8.8
3,3,8.4
3,4,8.9
3,5,8.1
3,6,8.5
3,7,8.3
3,8,8.6
3,9,9.3
3,10,9.1
3,11,8.5
3,12,8.3
3,13,8.5
3,14,8.6
3,15,9.0
4,1,8.5
4,2,9.2
4,3,8.5
4,4,8.6
4,5,9.0
4,6,8.7
4,7,8.4
4,8,8.6
4,9,8.3
4,10,8.9
4,11,7.8
4,12,8.5
4,13,9.7
5,1,8.4
5,2,9.1
5,3,8.1
5,4,8.8
5,5,8.8
5,6,8.4
5,7,8.5
5,8,9.0
5,9,8.6
5,10,9.3
5,11,8.2
5,12,8.6
6,1,8.0
6,2,7.7
6,3,8.9
6,4,8.2
6,5,8.3
6,6,7.8
6,7,9.1
6,8,7.8
6,9,8.9
6,10,8.4
6,11,8.6
6,12,8.5
6,13,9.2
7,1,8.7
7,2,9.2
7,3,8.5
7,4,8.0
7,5,6.8
7,6,8.3
7,7,9.2
7,8,8.4
7,9,8.7
7,10,7.8
7,11,8.9
7,12,8.3
7,13,8.5
8,1,8.0
8,2,8.3
8,3,8.7
8,4,8.9
8,5,9.0
8,6,7.7
8,7,8.1
8,8,8.4
8,9,9.0
8,10,9.0
9,1,8.8
9,2,8.3
9,3,9.3
9,4,8.1
9,5,8.7
9,6,8.9
9,7,8.8
9,8,8.8
9,9,8.1
9,10,8.3
10,1,8.8
10,2,8.8
10,3,7.6
10,4,9.8
10,5,8.3
10,6,8.8
10,7,8.0
10,8,9.0
10,9,8.2
10,10,7.6
11,1,8.6
11,2,8.0
11,3,8.6
11,4,7.6
11,5,9.4
11,6,8.4
11,7,8.6
11,8,8.6
11,9,8.5
11,10,8.4
12,1,8.5
12,2,9.5
12,3,8.6
12,4,8.2
12,5,8.7
12,6,9.5
12,7,8.7
12,8,8.3
12,9,7.4
12,10,8.7
13,1,7.8
13,2,8.2
13,3,6.8
13,4,9.3
13,5,9.0
13,6,8.4
13,7,7.6
13,8,6.9
13,9,7.0
13,10,8.4
14,1,8.1
14,2,8.1
14,3,8.4
14,4,8.3
14,5,8.2
14,6,8.6
14,7,8.3
14,8,8.7
14,9,8.2
14,10,8.0
