season,episode,rating
1,1,8.6
1,2,7.6
1,3,7.8
1,4,7.3
1,5,7.8
1,6,7.1
1,7,7.5
1,8,7.4
1,9,7.2
1,10,7.9
1,11,8.5
1,12,7.9
1,13,7.5
1,14,8.2
1,15,7.6
1,16,7.7
1,17,7.9
1,18,6.8
1,19,7.2
1,20,7.6
1,21,8.3
1,22,8.0
1,23,8.2
1,24,7.9
1,25,7.5
1,26,7.3
1,27,7.1
1,28,7.1
1,29,7.4
1,30,7.3
1,31,7.2
1,32,7.7
1,33,7.7
1,34,6.5
1,35,7.5
1,36,7.3
1,37,7.6
1,38,7.3
1,39,8.1
1,40,7.6
1,41,7.5
1,42,7.1
1,43,6.9
1,44,7.2
1,45,7.7
1,46,8.1
1,47,7.0
1,48,7.8
1,49,7.1
1,50,7.5
1,51,7.7
1,52,7.4
1,53,6.9
1,54,7.0
1,55,7.0
1,56,7.7
1,57,7.3
1,58,7.6
1,59,8.3
1,60,7.2
1,61,7.1
1,62,6.6
1,63,7.9
1,64,7.0
1,65,6.9
1,66,7.4
1,67,7.3
1,68,7.1
1,69,7.1
1,70,6.9
1,71,6.6
1,72,7.8
1,73,7.1
1,74,7.1
1,75,7.0
1,76,7.4
1,77,7.8
1,78,7.5
1,79,7.8
1,80,7.2
1,81,7.4
1,82,7.3
2,1,7.5
2,2,7.2
2,3,7.4
2,4,7.5
2,5,7.6
2,6,8.0
2,7,7.3
2,8,7.1
2,9,6.9
2,10,6.7
2,11,7.5
2,12,6.9
2,13,7.4
2,14,7.2
2,15,6.8
2,16,6.8
2,17,7.2
2,18,6.8
2,19,7.2
2,20,6.5
2,21,6.8
2,22,6.8
2,23,7.4
2,24,7.3
2,25,8.0
2,26,7.3
2,27,7.1
2,28,7.5
2,29,6.7
2,30,7.2
2,31,7.9
2,32,8.1
2,33,7.3
2,34,6.9
2,35,7.4
2,36,7.6
3,1,7.2
3,2,6.9
3,3,7.0
3,4,7.0
3,5,6.9
3,6,6.3
3,7,6.8
3,8,6.6
3,9,6.8
3,10,7.5
3,11,6.8
3,12,6.4
3,13,7.3
3,14,6.8
3,15,7.7
3,16,6.7
3,17,6.8
3,18,7.8
3,19,6.2
3,20,7.0
3,21,6.7
3,22,6.7
3,23,6.8
3,24,7.4
3,25,7.4
3,26,6.9
3,27,6.9
3,28,7.5
3,29,6.4
3,30,7.3
3,31,7.3
3,32,6.4
3,33,6.5
3,34,7.0
3,35,7.6
3,36,7.0
3,37,6.7
3,38,7.3
3,39,7.1
3,40,6.8
3,41,7.2
3,42,8.0
4,1,7.2
4,2,7.2
4,3,6.7
4,4,6.9
4,5,7.0
4,6,6.8
4,7,6.6
4,8,6.8
4,9,6.8
4,10,6.9
4,11,6.9
4,12,6.5
4,13,6.8
4,14,7.1
4,15,6.6
4,16,6.8
4,17,7.0
4,18,6.6
4,19,6.7
4,20,6.3
4,21,6.9
4,22,6.9
4,23,6.9
4,24,7.3
4,25,7.6
4,26,7.1
4,27,6.7
4,28,7.0
4,29,7.1
4,30,7.0
4,31,6.9
4,32,7.4
4,33,6.9
4,34,6.3
4,35,7.0
4,36,7.1
4,37,7.3
4,38,7.1
4,39,7.1
4,40,6.6
4,41,7.3
4,42,7.2
4,43,6.8
4,44,6.6
4,45,6.7
4,46,6.7
4,47,6.8
4,48,6.7
4,49,6.8
4,50,6.6
4,51,7.0
4,52,7.3
5,1,7.0
5,2,7.0
5,3,6.7
5,4,6.7
5,5,6.5
5,6,6.6
5,7,7.2
5,8,7.3
5,9,6.5
5,10,6.5
5,11,7.3
5,12,7.2
5,13,7.3
5,14,6.6
5,15,7.4
5,16,7.5
5,17,6.8
5,18,7.5
5,19,7.2
5,20,7.1
5,21,7.3
5,22,7.0
5,23,7.1
5,24,6.6
5,25,6.5
5,26,6.8
5,27,7.3
5,28,7.0
5,29,7.1
5,30,6.3
5,31,6.6
5,32,6.6
5,33,6.6
5,34,6.2
5,35,6.3
5,36,6.2
5,37,6.4
5,38,6.7
5,39,6.8
5,40,6.5
5,41,7.1
5,42,6.6
5,43,7.1
5,44,7.7
5,45,7.8
5,46,6.7
5,47,6.8
5,48,7.1
5,49,6.8
5,50,6.8
5,51,6.6
5,52,6.8
5,53,6.7
5,54,6.8
5,55,6.8
5,56,6.6
5,57,7.2
5,58,7.5
5,59,7.5
5,60,7.9
5,61,8.3
5,62,7.8
5,63,7.7
5,64,8.3
5,65,7.2
6,1,7.3
6,2,6.7
6,3,6.7
6,4,7.2
6,5,6.4
6,6,7.4
6,7,7.1
6,8,6.9
6,9,6.4
6,10,6.5
6,11,6.5
6,12,6.8
6,13,6.5
6,14,6.7
6,15,6.4
6,16,6.8
6,17,6.2
6,18,6.4
6,19,6.2
6,20,6.5
6,21,6.4
6,22,7.0
6,23,6.7
6,24,6.3
6,25,6.8
