season,episode,rating
1,1,8.4
1,2,8.1
1,3,8.4
1,4,8.3
1,5,7.9
1,6,8.0
1,7,8.2
1,8,8.5
1,9,8.6
1,10,8.5
1,11,8.5
1,12,8.8
2,1,8.1
2,2,7.9
2,3,8.1
2,4,8.4
2,5,8.2
2,6,8.4
2,7,8.0
2,8,8.5
2,9,8.2
2,10,8.5
2,11,9.1
2,12,8.7
3,1,8.5
3,2,8.4
3,3,8.7
3,4,8.4
3,5,8.7
3,6,8.8
3,7,8.6
3,8,8.4
3,9,8.9
3,10,8.3
3,11,8.6
3,12,9.1
4,1,8.2
4,2,8.4
4,3,8.3
4,4,8.5
4,5,9.0
4,6,8.9
4,7,8.9
4,8,8.7
4,9,8.9
4,10,8.8
4,11,9.3
4,12,9.4
5,1,8.3
5,2,8.4
5,3,8.6
5,4,8.7
5,5,8.8
5,6,9.1
5,7,8.6
5,8,8.9
5,9,9.0
5,10,8.8
5,11,9.0
5,12,8.2
6,1,8.4
6,2,8.0
6,3,8.4
6,4,8.5
6,5,8.4
6,6,8.6
6,7,8.0
6,8,8.3
6,9,8.6
6,10,8.3
6,11,8.9
6,12,8.9
7,1,8.5
7,2,8.1
7,3,8.4
7,4,8.5
7,5,8.0
7,6,8.5
7,7,8.1
7,8,9.0
7,9,8.5
7,10,8.8
7,11,9.2
7,12,9.2
8,1,8.4
8,2,8.1
8,3,8.9
8,4,8.4
8,5,8.2
8,6,8.2
8,7,8.0
8,8,8.0
8,9,7.9
8,10,7.8
8,11,8.5
8,12,8.2
9,1,8.0
9,2,7.4
9,3,7.5
9,4,7.6
9,5,8.1
9,6,8.9
9,7,8.3
9,8,7.6
9,9,7.8
9,10,7.8
9,11,8.3
9,12,8.3
9,13,8.4
9,14,9.0
10,1,7.5
10,2,7.4
10,3,7.4
10,4,7.0
10,5,7.5
10,6,7.0
10,7,7.6
10,8,7.4
10,9,6.9
10,10,7.5
10,11,7.6
10,12,8.9
11,1,7.0
11,2,7.3
11,3,7.7
11,4,7.3
11,5,7.2
11,6,7.8
11,7,7.9
11,8,7.9
11,9,7.3
11,10,7.4
11,11,8.5
11,12,6.3
