season,episode,rating
1,1,8.2
1,2,7.7
1,3,7.4
1,4,7.7
1,5,8.0
1,6,7.6
1,7,7.8
1,8,7.7
1,9,7.5
1,10,7.4
1,11,7.8
1,12,8.4
1,13,7.8
2,1,8.2
2,2,8.2
2,3,8.3
2,4,8.1
2,5,7.4
2,6,8.0
2,7,7.8
2,8,8.4
2,9,8.1
2,10,7.8
2,11,8.8
2,12,8.3
2,13,8.0
2,14,7.5
2,15,8.3
2,16,7.5
2,17,7.6
2,18,8.0
2,19,8.6
2,20,7.9
2,21,8.3
2,22,7.9
3,1,8.6
3,2,7.8
3,3,8.2
3,4,8.6
3,5,8.5
3,6,7.7
3,7,8.3
3,8,7.9
3,9,7.9
3,10,8.8
3,11,8.3
3,12,8.3
3,13,8.5
3,14,8.0
3,15,8.1
3,16,8.3
3,17,8.7
3,18,8.2
3,19,7.8
3,20,8.1
3,21,8.3
3,22,7.7
3,23,7.8
3,24,8.3
4,1,8.5
4,2,8.2
4,3,9.0
4,4,7.8
4,5,8.5
4,6,8.2
4,7,7.8
4,8,8.2
4,9,8.9
4,10,8.7
4,11,8.7
4,12,9.1
4,13,8.0
4,14,8.2
4,15,8.4
4,16,8.4
4,17,9.1
4,18,7.1
4,19,8.1
4,20,8.1
4,21,7.8
4,22,8.2
5,1,8.5
5,2,9.2
5,3,8.6
5,4,8.9
5,5,8.8
5,6,8.1
5,7,7.7
5,8,8.7
5,9,8.5
5,10,8.6
5,11,8.3
5,12,8.2
5,13,8.3
5,14,8.2
5,15,8.9
5,16,8.5
5,17,7.9
5,18,8.3
5,19,8.4
5,20,8.3
5,21,7.5
5,22,8.1
6,1,8.7
6,2,8.1
6,3,5.9
6,4,8.6
6,5,8.3
6,6,9.2
6,7,8.1
6,8,8.6
6,9,9.0
6,10,8.1
6,11,7.8
6,12,9.0
6,13,8.8
6,14,8.7
6,15,8.6
6,16,8.5
6,17,7.9
6,18,8.6
6,19,8.3
6,20,8.2
6,21,8.1
6,22,8.2
6,23,8.2
6,24,8.7
6,25,9.2
7,1,9.0
7,2,8.3
7,3,8.4
7,4,8.8
7,5,8.5
7,6,8.6
7,7,9.0
7,8,8.6
7,9,8.0
7,10,7.5
7,11,8.4
7,12,8.3
7,13,8.6
7,14,7.7
7,15,7.7
7,16,8.2
7,17,8.9
7,18,8.1
7,19,8.2
7,20,8.6
7,21,8.9
7,22,8.4
7,23,8.1
7,24,8.0
7,25,8.4
8,1,8.5
8,2,9.2
8,3,8.1
8,4,7.7
8,5,8.3
8,6,8.1
8,7,7.8
8,8,8.8
8,9,8.6
8,10,9.1
8,11,7.8
8,12,8.6
8,13,7.7
8,14,8.0
8,15,8.8
8,16,8.2
8,17,8.0
8,18,8.9
8,19,8.3
8,20,7.6
8,21,7.9
8,22,8.1
8,23,9.3
8,24,7.2
8,25,7.9
9,1,9.1
9,2,6.9
9,3,8.1
9,4,8.2
9,5,8.2
9,6,7.7
9,7,7.7
9,8,8.1
9,9,7.6
9,10,7.6
