season,episode,rating
1,1,8.7
1,2,8.6
1,3,8.5
1,4,8.6
1,5,9.2
1,6,8.6
1,7,8.6
1,8,8.3
1,9,8.5
1,10,8.8
1,11,8.5
1,12,8.5
1,13,8.5
1,14,9.1
1,15,8.8
1,16,8.6
1,17,9.3
1,18,8.6
1,19,8.5
1,20,8.8
2,1,8.8
2,2,8.9
2,3,8.8
2,4,9.3
2,5,8.8
2,6,8.7
2,7,9.0
2,8,8.8
2,9,8.8
2,10,8.6
2,11,8.9
2,12,8.6
2,13,9.1
2,14,9.3
2,15,9.8
2,16,9.4
2,17,8.6
2,18,9.3
2,19,9.0
2,20,8.8
3,1,8.8
3,2,9.1
3,3,9.1
3,4,9.5
3,5,8.7
3,6,9.2
3,7,8.8
3,8,9.1
3,9,9.0
3,10,9.6
3,11,7.9
3,12,9.6
3,13,8.8
3,14,8.3
3,15,8.6
3,16,8.7
3,17,9.1
3,18,8.7
3,19,8.0
3,20,9.1
4,1,8.1
4,2,8.3
4,3,8.5
4,4,7.6
4,5,7.6
4,6,8.2
4,7,8.0
4,8,7.7
4,9,8.6
4,10,7.6
4,11,7.4
4,12,7.3
4,13,7.5
4,14,7.3
4,15,7.3
4,16,7.2
4,17,7.0
4,18,7.8
4,19,7.2
4,20,6.9
5,1,8.1
5,2,7.3
5,3,6.4
5,4,7.1
5,5,8.1
5,6,8.0
5,7,5.8
5,8,7.0
5,9,7.7
5,10,7.1
5,11,7.1
5,12,5.8
5,13,6.6
5,14,7.3
5,15,7.6
5,16,7.2
5,17,7.1
5,18,6.4
5,19,7.2
5,20,6.8
6,1,6.7
6,2,6.3
6,3,7.1
6,4,7.2
6,5,3.9
6,6,6.9
6,7,6.6
6,8,6.7
6,9,6.1
6,10,6.9
6,11,7.4
6,12,5.9
6,13,6.6
6,14,6.1
6,15,6.6
6,16,5.8
6,17,5.6
6,18,5.5
6,19,6.6
6,20,6.9
6,21,7.7
6,22,7.4
6,23,5.7
6,24,6.9
6,25,5.3
7,1,6.7
7,2,4.3
7,3,5.9
7,4,6.5
7,5,3.3
7,6,6.2
7,7,7.6
7,8,7.0
7,9,7.5
7,10,5.3
7,11,3.6
7,12,6.0
7,13,6.1
7,14,7.0
7,15,6.6
7,16,5.5
7,17,6.9
7,18,6.9
7,19,7.3
7,20,7.3
7,21,6.5
7,22,7.1
7,23,6.5
7,24,7.0
7,25,6.5
7,26,6.1
8,1,7.0
8,2,7.0
8,3,6.8
8,4,7.4
8,5,6.4
8,6,6.5
8,7,6.1
8,8,6.4
8,9,6.9
8,10,7.1
8,11,7.5
8,12,5.2
8,13,5.5
8,14,6.6
8,15,6.5
8,16,6.1
8,17,6.6
8,18,6.6
8,19,6.9
8,20,5.4
8,21,4.7
8,22,7.0
8,23,7.2
8,24,7.1
8,25,7.0
8,26,7.4
9,1,6.7
9,2,6.9
9,3,6.1
9,4,5.3
9,5,6.8
9,6,7.8
9,7,7.2
9,8,8.1
9,9,7.8
9,10,6.9
9,11,4.9
9,12,7.9
9,13,8.0
9,14,8.0
9,15,7.9
9,16,8.0
9,17,7.7
9,18,7.5
9,19,8.1
9,20,8.2
9,21,8.1
9,22,8.2
9,23,8.3
9,24,8.1
9,25,8.1
9,26,8.1
10,1,7.6
10,2,8.3
10,3,8.2
10,4,8.2
10,5,8.2
10,6,8.3
10,7,8.0
10,8,7.9
10,9,8.2
10,10,5.1
10,11,8.2
11,1,7.9
11,2,8.2
11,3,7.9
11,4,7.9
11,5,8.3
11,6,7.9
11,7,7.9
11,8,7.0
11,9,8.3
11,10,6.9
11,11,7.4
11,12,7.7
11,13,7.4
11,14,7.7
11,15,7.6
11,16,4.9
11,17,7.7
11,18,8.2
11,19,6.5
11,20,6.7
11,21,6.2
11,22,7.9
11,23,8.0
11,24,6.9
11,25,6.6
11,26,7.9
12,1,6.3
12,2,5.3
12,3,6.6
12,4,7.7
12,5,7.8
12,6,7.8
12,7,8.2
12,8,7.9
12,9,8.0
12,10,7.7
12,11,8.3
12,12,7.9
12,13,8.9
12,14,6.2
12,15,7.2
12,16,7.9
12,17,7.7
12,18,7.6
12,19,6.8
12,20,7.7
12,21,7.5
12,22,9.3
12,23,7.9
13,1,7.3
13,2,9.0
