season,episode,rating
1,1,4.3
1,2,4.1
1,3,3.7
1,4,3.7
1,5,3.7
1,6,3.4
1,7,3.4
1,8,3.7
1,9,3.7
2,1,5.4
2,2,4.1
2,3,3.7
2,4,4.2
2,5,4.2
2,6,4.2
2,7,3.4
2,8,3.7
2,9,3.7
2,10,4.2
3,1,4.0
3,2,4.3
4,1,4.2
4,2,3.7
4,3,4.2
4,4,3.7
4,5,4.2
4,6,4.2
4,7,4.2
4,8,4.2
4,9,3.7
4,10,4.2
5,1,4.2
5,2,4.2
5,3,4.2
5,4,4.2
5,5,4.2
5,6,4.2
5,7,3.7
5,8,4.2
5,9,4.2
6,1,4.2
6,2,4.2
6,3,4.2
6,4,3.7
6,5,4.2
6,6,3.7
6,7,4.2
6,8,4.2
6,9,4.2
6,10,4.2
7,1,4.8
7,2,4.8
7,3,4.8
7,4,4.8
7,5,4.2
7,6,4.8
7,7,4.8
7,8,4.5
7,9,4.8
8,1,5.7
8,2,4.2
8,3,4.8
8,4,4.2
8,5,4.8
8,6,4.8
8,7,4.8
8,8,4.7
9,1,6.2
9,2,4.8
9,3,4.8
9,4,4.8
9,5,4.8
9,6,4.2
9,7,4.8
9,8,4.2
10,1,4.7
10,2,4.8
10,3,5.7
10,4,4.8
10,5,4.2
10,6,4.8
10,7,4.2
10,8,4.8
10,9,4.2
11,1,4.8
11,2,4.8
11,3,3.9
11,4,4.8
11,5,4.8
11,6,4.2
11,7,4.2
11,8,4.8
11,9,4.2
11,10,5.2
12,1,5.4
12,2,4.8
12,3,5.2
12,4,4.8
12,5,4.8
12,6,4.2
12,7,4.8
12,8,4.8
12,9,4.8
12,10,4.2
13,1,4.6
13,2,5.1
13,3,5.3
13,4,4.3
13,5,4.4
13,6,5.4
13,7,5.4
13,8,4.5
13,9,4.9
13,10,4.6
13,11,3.8
14,1,4.2
14,2,4.3
14,3,4.1
14,4,4.2
14,5,4.3
14,6,3.9
14,7,4.2
14,8,4.5
14,9,4.3
14,10,4.4
14,11,5.7
15,1,5.5
15,2,5.0
15,3,5.3
15,4,4.3
15,5,5.2
15,6,5.2
15,7,4.7
15,8,4.2
15,9,4.2
15,10,5.0
15,11,3.9
15,12,4.8
16,1,5.4
16,2,5.2
16,3,5.6
16,4,4.6
16,5,3.8
16,6,4.9
16,7,5.2
16,8,5.1
16,9,5.6
16,10,5.6
16,11,3.9
16,12,5.1
17,1,6.2
17,2,4.2
17,3,4.6
17,4,5.4
17,5,5.2
17,6,5.3
17,7,5.5
17,8,5.7
17,9,5.1
17,10,5.4
17,11,5.3
17,12,5.9
17,13,5.3
18,1,3.1
18,2,5.1
18,3,5.9
18,4,5.6
18,5,4.7
18,6,4.8
18,7,4.4
18,8,3.9
18,9,3.6
18,10,3.4
18,11,2.6
18,12,4.2
18,13,4.0
19,1,6.3
19,2,6.1
19,3,5.4
19,4,4.8
19,5,5.3
19,6,5.9
19,7,5.0
19,8,5.5
19,9,5.1
19,10,5.3
19,11,5.7
19,12,5.0
19,13,5.3
20,1,5.1
20,2,5.6
20,3,5.5
20,4,6.1
20,5,5.5
20,6,5.8
20,7,4.5
20,8,4.9
20,9,5.4
20,10,4.1
20,11,5.2
20,12,4.5
21,1,5.4
21,2,6.1
21,3,6.5
21,4,5.7
21,5,5.4
21,6,5.6
21,7,5.9
21,8,6.6
21,9,5.9
21,10,6.4
21,11,6.2
21,12,6.4
21,13,6.3
21,14,6.2
22,1,7.4
22,2,7.1
22,3,6.8
22,4,6.8
22,5,6.8
22,6,6.8
22,7,7.0
22,8,6.5
22,9,6.4
22,10,6.1
22,11,6.7
22,12,5.3
22,13,7.0
23,1,6.5
23,2,7.5
23,3,7.4
23,4,7.4
23,5,7.9
23,6,7.5
23,7,8.0
23,8,7.8
23,9,8.2
23,10,6.9
23,11,7.1
23,12,7.5
24,1,5.6
24,2,6.3
24,3,6.3
24,4,6.1
24,5,6.4
24,6,6.8
24,7,6.2
24,8,6.2
24,9,6.5
24,10,6.4
24,11,5.6
24,12,5.7
