season,episode,rating
1,1,4.9
1,2,4.7
1,3,3.6
1,4,4.2
1,5,4.2
1,6,4.2
1,7,4.2
1,8,4.9
1,9,4.3
1,10,4.3
2,1,3.6
2,2,3.6
2,3,3.6
2,4,3.6
2,5,3.6
2,6,3.6
2,7,3.6
2,8,3.6
2,9,3.8
3,1,3.6
3,2,3.6
3,3,3.6
3,4,3.6
3,5,3.6
3,6,3.6
3,7,3.6
3,8,3.6
3,9,4.4
4,1,4.6
4,2,4.4
4,3,4.0
4,4,4.0
4,5,4.0
4,6,4.0
4,7,4.0
4,8,4.0
4,9,4.9
4,10,4.0
4,11,4.0
5,1,4.0
5,2,4.0
5,3,4.1
5,4,4.1
5,5,4.1
5,6,4.0
5,7,3.6
5,8,4.9
5,9,4.1
5,10,4.1
5,11,4.5
5,12,3.7
6,1,5.9
6,2,4.7
6,3,5.2
6,4,5.1
6,5,5.1
6,6,5.0
6,7,5.3
6,8,5.0
6,9,4.9
6,10,5.3
6,11,5.2
6,12,4.9
7,1,5.2
7,2,4.2
7,3,4.8
7,4,4.7
7,5,4.9
7,6,5.3
7,7,4.6
7,8,4.8
7,9,4.5
7,10,4.5
7,11,4.8
7,12,4.4
8,1,6.5
8,2,5.2
8,3,5.9
8,4,5.5
8,5,6.4
8,6,6.1
8,7,6.1
8,8,5.0
8,9,5.6
8,10,5.8
8,11,5.4
8,12,5.3
9,1,5.9
9,2,4.9
9,3,4.5
9,4,4.9
9,5,5.5
9,6,5.6
9,7,5.5
9,8,5.0
9,9,5.2
9,10,5.4
9,11,5.4
9,12,5.4
10,1,5.2
10,2,5.0
10,3,4.9
10,4,4.9
10,5,4.5
10,6,4.9
10,7,4.8
10,8,4.9
10,9,4.6
10,10,4.9
10,11,5.0
10,12,5.5
10,13,5.0
11,1,5.5
11,2,4.8
11,3,5.4
11,4,5.5
11,5,5.2
11,6,5.7
11,7,4.6
11,8,3.9
11,9,4.6
11,10,5.3
11,11,5.8
11,12,5.7
11,13,4.7
12,1,6.2
12,2,6.2
12,3,5.8
12,4,5.9
12,5,4.7
12,6,5.0
12,7,5.4
12,8,5.5
12,9,5.2
12,10,4.4
12,11,5.1
12,12,4.5
13,1,5.6
13,2,5.5
13,3,6.3
13,4,5.1
13,5,5.0
13,6,4.8
13,7,4.9
13,8,4.9
13,9,4.1
13,10,4.4
13,11,3.2
14,1,6.6
14,2,6.6
14,3,6.6
14,4,6.5
14,5,6.6
14,6,6.9
14,7,6.8
14,8,6.4
14,9,6.8
14,10,5.4
14,11,7.0
15,1,6.9
15,2,6.5
15,3,6.5
15,4,7.0
15,5,6.9
15,6,5.9
15,7,3.0
15,8,5.8
15,9,6.2
15,10,6.8
15,11,7.4
15,12,5.8
15,13,6.1
15,14,6.1
